time;type;message
1633647822.64714;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.260s)
1633647822.903511;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.256s)
1633647823.164248;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.261s)
1633647823.420161;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.256s)
1633647823.655732;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.236s)
1633647823.887587;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.232s)
1633647823.9185019;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647824.1291258;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.242s)
1633647824.157421;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647824.361665;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.232s)
1633647824.389191;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647824.594214;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.233s)
1633647824.621249;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647824.817716;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.224s)
1633647824.8448582;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647825.046766;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.229s)
1633647825.072596;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
